Season,State,Area(hec),Production(Ton),Fertilizer,Pesticide,Yield(Ton/hector)
1,0,360266,768582,51532448.64,32423.94,1.951153846
3,0,1773211,2865843,253640101.4,159588.99,1.607407407
2,42,1129883,2906761,161618464.3,101689.47,2.513448276
3,42,40982,89072,5862065.28,3688.38,2.514166667
1,42,343122,1035706,49080170.88,30880.98,2.786923077
0,58,79381,192770,11354658.24,7144.29,2.295384615
1,58,49762,148370,7117956.48,4478.58,2.446428571
3,58,105122,249101,15036650.88,9460.98,2.260714286
0,23,32570,41908,4658812.8,2931.3,1.53
1,23,12752,46600,1824046.08,1147.68,2.154285714
3,23,62723,115354,8971897.92,5645.07,1.802857143
2,10,1931603,5183385,276296493.1,173844.27,3.562580645
0,34,292444,604968,41831189.76,26319.96,2.04
1,34,1556662,4358011,222664932.5,140099.58,2.646666667
3,34,4086590,10074261,584545833.6,367793.1,2.393888889
2,53,4650,13501,724563,790.5,2.893333333
3,53,11178,25378,1741755.96,1900.26,2.903333333
1,53,5098,13451,794370.36,866.66,1.965
2,56,2062870,5956396,321436403.4,350687.9,2.790909091
3,56,1377866,4881871,214699080.1,234237.22,3.098636364
0,0,340830,334655,53108130.6,57941.1,1.070740741
1,0,394442,859790,61461952.44,67055.14,1.903703704
3,0,1762324,3213979,274605325.7,299595.08,1.780740741
2,42,1102221,2734838,171748076.2,187377.57,2.397931034
3,42,37747,84636,5881737.54,6416.99,2.416666667
1,42,346510,1057933,53993188.2,58906.7,2.806923077
0,58,77249,192050,12036939.18,13132.33,2.303076923
1,58,49279,134005,7678653.78,8377.43,2.385
3,58,107485,272284,16748312.7,18272.45,2.286428571
0,23,32560,41798,5073499.2,5535.2,1.542857143
1,23,12777,46943,1990912.14,2172.09,2.171428571
3,23,62825,115388,9789391.5,10680.25,1.802857143
2,10,1845553,5665258,287574068.5,313744.01,3.539677419
2,53,4384,12602,728226.24,1052.16,2.673333333
3,53,10920,26585,1813921.2,2620.8,3.446666667
1,53,4710,12773,782378.1,1130.4,2.7
0,0,307988,355825,51159886.68,73917.12,1.272592593
1,0,398785,1027575,66242176.35,95708.4,2.342222222
3,0,1830682,3649129,304094587,439363.68,1.958888889
2,56,2921793,7509866,485339035.2,701230.32,2.666818182
3,56,1829516,6909447,303900902.8,439083.84,3.325909091
2,42,1129304,3192746,187588687.4,271032.96,2.654
3,42,49700,117501,8255667,11928,2.668333333
1,42,360062,1163725,59809898.82,86414.88,2.935714286
0,58,70498.28,170262,11710469.29,16919.5872,2.236923077
1,58,51132.63,137465,8493641.169,12271.8312,2.48
3,58,91555.59,215011,15208299.05,21973.3416,2.202142857
0,23,32596,42492,5414521.56,7823.04,1.53
3,23,12797,47413,2125709.67,3071.28,2.077142857
3,23,62892,117116,10446990.12,15094.08,1.828571429
2,53,4237,12794,709782.24,1398.21,3.046666667
3,53,10324,23489,1729476.48,3406.92,2.856666667
1,53,2015,5831,337552.8,664.95,2.49
0,0,276486,338015,46316934.72,91240.38,1.268518519
1,0,393619,1080072,65939054.88,129894.27,2.489615385
3,0,1875601,3297591,314200679.5,618948.33,1.797037037
2,56,2873949,8563334,481443936.5,948403.17,2.909090909
3,56,1221899,4328458,204692520.5,403226.67,3.031818182
2,42,1117720,3218289,187240454.4,368847.6,2.702666667
3,42,43192,94196,7235523.84,14253.36,2.378181818
1,42,255223,869134,42754956.96,84223.59,2.931428571
0,58,68134.83,171662,11413946.72,22484.4939,2.301538462
1,58,47290.01,149217,7922022.475,15605.7033,2.7
3,58,92734.9,248114,15534950.45,30602.517,2.426428571
0,23,32605,43401,5461989.6,10759.65,1.511428571
3,23,12836,54206,2150286.72,4235.88,2.07
3,23,63434,125124,10626463.68,20933.22,1.91
2,10,1903772,7458657,318919885.4,628244.76,4.226451613
2,56,2487000,7167000,375039600,770970,2.969545455
3,56,1141000,4344000,172062800,353710,3.243636364
0,0,238178,308745,35917242.4,73835.18,1.291481481
1,0,389140,1155877,58682312,120633.4,2.7724
3,0,1857410,3655430,280097428,575797.1,1.968888889
2,42,1048427,2667359,158102791.6,325012.37,2.418333333
3,42,45326,109309,6835160.8,14051.06,2.394615385
1,42,185162,587711,27922429.6,57400.22,2.747777778
0,58,63232,161083,9535385.6,19601.92,2.41
1,58,47294,134609,7131935.2,14661.14,2.482142857
3,58,86751,212607,13082050.8,26892.81,2.355
0,23,33000,66000,4976400,10230,2.232857143
3,23,13267,56786,2000663.6,4112.77,2.13
3,23,63484,142867,9573387.2,19680.04,2.118571429
2,56,1705555,4356822,246435642,460499.85,2.715384615
3,56,877885,3636603,126845603.7,237028.95,3.408461538
0,0,223332,294440,32269240.68,60299.64,1.386296296
1,0,399132,1189858,57670582.68,107765.64,2.655925926
3,0,1880737,3709081,271747689.1,507798.99,1.982592593
2,43,28330,80114,4093401.7,7649.1,2.82
3,43,14490,46397,2093660.1,3912.3,3.205
2,42,1035111,3057894,149563188.4,279479.97,2.792666667
3,42,40896,102639,5909063.04,11041.92,2.545833333
1,42,264028,892066,38149405.72,71287.56,3.022962963
0,58,51922,141234,7502209.78,14018.94,2.416923077
1,58,46865,137477,6771523.85,12653.55,2.673571429
3,58,100824,285614,14568059.76,27222.48,2.506428571
0,23,22569,48727,3260994.81,6093.63,2.448571429
3,23,13444,58685,1942523.56,3629.88,2.396363636
3,23,46424,111289,6707803.76,12534.48,2.238571429
2,10,1725730,7115195,249350727.7,465947.1,4.491935484
2,56,1634921,5097447,246807674.2,539523.93,3.184615385
3,56,759034,3358137,114583772.6,250481.22,3.541538462
0,0,196188,280693,29616540.48,64742.04,1.531481481
1,0,416353,1224046,62852648.88,137396.49,2.613076923
3,0,1882756,3717906,284220845.8,621309.48,1.977777778
2,43,27840,81269,4202726.4,9187.2,2.925
3,43,14130,39236,2133064.8,4662.9,2.775
2,42,1000025,3057611,150963774,330008.25,2.812333333
3,42,48096,118479,7260572.16,15871.68,2.493846154
1,42,278414,851657,42029377.44,91876.62,2.852
0,58,63981,161477,9658571.76,21113.73,2.215384615
1,58,45188,146165,6821580.48,14912.04,2.801428571
3,58,88990,254450,13433930.4,29366.7,2.500714286
0,23,33102,76631,4997077.92,10923.66,2.507272727
3,23,13620,62687,2056075.2,4494.6,2.505454545
3,23,63601,158920,9601206.96,20988.33,2.319090909
2,10,1794991,7949437,270971841.4,592347.03,4.730322581
2,56,1398884,4115558,220897772.4,461631.72,3.091538462
3,56,761911,3402713,120313366,251430.63,3.671538462
2,53,3817,12250,602742.47,1259.61,2.273333333
3,53,8505,19587,1343024.55,2806.65,2.47
1,53,3941,12049,622323.31,1300.53,2.225
0,0,191322,256729,30211657.02,63136.26,1.398888889
1,0,404982,1141336,63950707.62,133644.06,2.488076923
3,0,1888683,3727039,298241932.5,623265.39,1.965925926
0,23,33136,77453,5232505.76,10934.88,2.551818182
3,23,13649,62901,2155313.59,4504.17,2.557272727
3,23,63670,160722,10054129.7,21011.1,2.347272727
2,43,27730,78489,4378844.3,9150.9,2.83
3,43,13614,36579,2149786.74,4492.62,2.76
2,42,977005,2641669,154278859.5,322411.65,2.525666667
3,42,29329,71420,4631342.39,9678.57,2.456428571
1,42,103711,307524,16377004.01,34224.63,2.785769231
0,58,60418,160894,9540606.38,19937.94,2.327692308
1,58,47334,144706,7474511.94,15620.22,2.67
3,58,89118,243675,14072623.38,29408.94,2.370714286
2,10,2000212,7374681,315853476.9,660069.96,4.061290323
2,56,1519656,5233690,232887282,531879.6,3.361538462
3,56,585363,2768647,89706879.75,204877.05,3.727692308
2,53,3693,13151,565952.25,1292.55,3.24
3,53,8412,23024,1289139,2944.2,3.436666667
1,53,4100,15989,628325,1435,2.535
0,0,168044,228206,25752743,58815.4,1.405185185
1,0,408132,1131872,62546229,142846.2,2.412692308
3,0,1890960,3767357,289789620,661836,1.996666667
0,23,33646,78965,5156249.5,11776.1,2.552727273
3,23,13670,63373,2094927.5,4784.5,2.573636364
3,23,63862,162180,9786851.5,22351.7,2.359090909
2,43,27630,77109,4234297.5,9670.5,2.795
3,43,13193,36118,2021827.25,4617.55,2.745
2,42,942025,2611754,144365331.3,329708.75,2.529666667
3,42,18686,49615,2863629.5,6540.1,2.525333333
1,42,73832,212837,11314754,25841.2,2.852692308
0,58,56601,167181,8674103.25,19810.35,2.524615385
1,58,42544,127905,6519868,14890.4,2.534285714
3,58,72253,141397,11072772.25,25288.55,2.102142857
2,10,1442841,3554113,221115383.3,504994.35,3.068387097
2,56,1476928,4941933,232527544.3,561232.64,3.25
3,56,741258,3519409,116703659.5,281678.04,3.887692308
2,53,4325,15281,680928,1643.5,3.256666667
3,53,8749,25188,1377442.56,3324.62,3.27
1,53,4297,15518,676519.68,1632.86,2.85
0,0,154511,209349,24326211.84,58714.18,1.418148148
1,0,400402,1191244,63039290.88,152152.76,2.704615385
3,0,1878798,3883120,295797957.1,713943.24,2.063703704
0,23,33575,78848,5286048,12758.5,2.551818182
3,23,13683,63428,2154251.52,5199.54,2.576363636
3,23,63883,162272,10057739.52,24275.54,2.36
2,43,27219,71279,4285359.36,10343.22,2.635
3,43,11301,31718,1779229.44,4294.38,2.855
2,42,737547,2123100,116119399.7,280267.86,2.9
3,42,30634,81726,4823016.96,11640.92,2.773076923
1,42,224744,702645,35383695.36,85402.72,3.063703704
0,58,58278,148913,9175288.32,22145.64,2.217692308
1,58,49693,153463,7823665.92,18883.34,2.733571429
3,58,81115,218934,12770745.6,30823.7,2.483571429
0,10,235255,906616,37038547.2,89396.9,3.967857143
1,10,276272,1234550,43496263.68,104983.36,4.451428571
3,10,1317338,4497284,207401694.7,500588.44,4.139
2,56,1563887,5243250,253662471.4,547360.45,3.263846154
3,56,644417,2991289,104524437.4,225545.95,3.699230769
2,53,4298,16082,697135.6,1504.3,3.373333333
3,53,9048,30635,1467585.6,3166.8,3.976666667
1,53,4515,16626,732333,1580.25,2.885
0,0,144766,209122,23481045.2,50668.1,1.492592593
1,0,400873,1145512,65021600.6,140305.55,2.645
3,0,1879539,4082738,304861225.8,657838.65,2.15
0,23,33494,78214,5432726.8,11722.9,2.545454545
3,23,13624,63050,2209812.8,4768.4,2.569090909
3,23,63814,161706,10350630.8,22334.9,2.352727273
2,43,25841,70272,4191410.2,9044.35,2.72
3,43,10543,28582,1710074.6,3690.05,2.72
2,42,1037158,2949318,168227027.6,363005.3,2.637
3,42,11442,28334,1855892.4,4004.7,2.480833333
1,42,150993,484330,24491064.6,52847.55,2.9272
0,58,60718.46,101943,9848534.212,21251.461,1.565384615
1,58,48858.28,196784,7924813.016,17100.398,3.09
3,58,88449.47,279529,14346504.03,30957.3145,2.684285714
0,10,279647,1198496,45358743.4,97876.45,4.184827586
1,10,236904,992095,38425828.8,82916.4,3.997333333
3,10,1204714,3940959,195404610.8,421649.9,3.749032258
2,56,1526425,5342033,262178758,564777.25,3.517692308
3,56,829557,3798058,142484710.3,306936.09,3.873076923
2,53,4323,15171,742518.48,1599.51,3.216666667
3,53,9397,28114,1614028.72,3476.89,3.883333333
1,53,4518,16060,776011.68,1671.66,3.55
0,0,127223,193215,21851822.48,47072.51,1.464814815
1,0,395518,1025571,67934171.68,146341.66,2.492307692
3,0,1878208,3996018,322601006.1,694936.96,2.137037037
0,23,33480,78074,5750524.8,12387.6,2.510909091
3,23,13628,63081,2340745.28,5042.36,2.57
3,23,63889,162321,10973574.64,23638.93,2.36
2,43,24411,60556,4192833.36,9032.07,2.475
3,43,10287,29819,1766895.12,3806.19,2.95
2,42,964087,3088937,165591583.1,356712.19,2.924
3,42,11266,31038,1935048.16,4168.42,2.881428571
1,42,272701,827998,46839123.76,100899.37,2.86862069
0,58,55895,145076,9600525.2,20681.15,1.949230769
1,58,61006,212586,10478390.56,22572.22,2.815714286
3,58,81279,247879,13960481.04,30073.23,2.503571429
0,10,206535,847692,35474451.6,76417.95,4.077241379
1,10,339990,1463054,58396682.4,125796.3,4.095
3,10,1360882,4954415,233745092.3,503526.34,3.818387097
2,56,2382500,5218300,226742525,738575,1.99173913
3,56,1117700,3291700,106371509,346487,2.64
0,9,749671,892725,71346189.07,232398.01,1.102244898
1,9,124429,236446,11841907.93,38572.99,1.683265306
3,9,4238204,6004120,403349874.7,1313843.24,1.354363636
4,25,672600,1042300,64011342,208506,1.665
2,16,1339000,2330000,127432630,415090,8.778275862
1,16,329,646,31310.93,101.99,2.018888889
4,4,68114,110573,6482409.38,21115.34,1.6
2,11,2281000,7904000,217082770,707110,3.476470588
2,59,5726527,12262794,544993574.6,1775223.37,2.037
1,59,6607,18281,628788.19,2048.17,2.202903226
2,56,2812400,7005800,277865120,815596,2.47
3,56,1504200,4872200,148614960,436218,2.986086957
1,9,132836,270992,13124196.8,38522.44,1.765777778
3,9,4234443,5722449,418362968.4,1227988.47,1.242909091
2,25,622100,1015900,61463480,180409,1.695384615
2,1,1086694,2432000,107365367.2,315141.26,2.286666667
2,40,82125,116997,8113950,23816.25,1.455454545
2,17,5438800,3346300,537353440,1577252,0.586785714
2,16,1445700,2395100,142835160,419253,1.267241379
1,16,37400,72500,3695120,10846,2.053333333
2,11,2519000,7940000,248877200,730510,3.099411765
2,10,2386399,8215286,235776221.2,692055.71,3.445
2,22,255487,491430,25242115.6,74091.23,1.8775
2,59,5875153,11374070,580465116.4,1703794.37,1.865060241
1,59,5629,12643,556145.2,1632.41,2.015172414
2,9,744230,862282,78985129.9,200942.1,1.061666667
1,9,124874,246807,13252877.62,33715.98,1.700666667
2,25,664400,984900,70512772,179388,1.510714286
2,1,1083052,2563000,114944308.8,292424.04,2.235
2,40,80222,120365,8513960.86,21659.94,1.55
2,42,1096198,2678951,116339493.7,295973.46,2.292962963
3,42,52778,107289,5601329.14,14250.06,2.079285714
1,42,300820,930490,31926026.6,81221.4,2.7336
2,17,5514025,6663769,585203473.3,1488786.75,1.110508475
2,16,1457100,2466400,154642023,393417,1.211935484
1,16,41400,82900,4393782,11178,2.081
2,63,148000,222000,15707240,39960,1.484285714
0,2,797000,743000,84585610,215190,0.971333333
1,2,381810,912040,40521495.3,103088.7,2.073333333
3,2,3423000,3532000,363282990,924210,1.142666667
2,11,2604000,8716000,276362520,703080,3.332352941
2,10,2204046,7225373,233915402,595092.42,3.499642857
2,59,6079822,13230539,645251508.9,1641551.94,1.991707317
1,59,6052,16186,642298.76,1634.04,2.190384615
0,9,2939790,4444354,288599184.3,764345.4,1.399189189
2,9,591705,786858,58087679.85,153843.3,1.310645161
1,9,125349,213158,12305511.33,32590.74,1.590645161
2,24,3769746,2369295,370075964.8,980133.96,0.6575
2,25,583500,472600,57282195,151710,0.8725
1,25,3900,10700,382863,1014,3.53
2,1,1054282,2695000,103498863.9,274113.32,2.443157895
2,40,81519,124893,8002720.23,21194.94,1.55
2,17,1697346,975274,166628456.8,441309.96,0.613555556
2,16,1486400,1879200,145919888,386464,0.9865625
1,16,25100,50500,2464067,6526,1.987
2,4,51839,103673,5089034.63,13478.14,1.8875
2,63,150000,230000,14725500,39000,1.5025
3,63,1680,3330,164925.6,436.8,1.98
0,2,854570,464250,83893136.9,222188.2,0.733666667
1,2,206730,441540,20294684.1,53749.8,1.685333333
3,2,3372220,3707590,331050837.4,876777.2,1.020666667
2,11,2611000,9154000,256321870,678860,3.501764706
2,10,2113344,7217903,207466980.5,549469.44,3.611785714
2,59,5904128,11672250,579608245.8,1535073.28,1.894782609
1,59,3023,6899,296767.91,785.98,2.083181818
2,20,285545,579074,28031952.65,74241.7,1.649230769
3,20,3062,9578,300596.54,796.12,3.125
0,9,2844474,4354156,290506129.6,739563.24,1.409189189
2,9,126106,243661,12879205.78,32787.56,1.792903226
1,9,593959,703404,60661032.67,154429.34,1.098275862
2,24,3810112,5073721,389126738.6,990629.12,1.34375
2,25,664000,1028700,67814320,172640,1.533571429
1,25,3800,11500,388094,988,2.935
2,1,1027505,2726000,104939085.6,267151.3,2.645555556
2,40,80579,137418,8229533.27,20950.54,1.654545455
2,17,1766150,1685799,180376899.5,459199,0.849333333
2,16,1487200,2590400,151887736,386672,1.261875
1,16,26800,60800,2737084,6968,2.192
2,4,55880,105713,5707024.4,14528.8,1.825
2,63,155000,235000,15830150,40300,1.485
3,63,1500,2000,153195,390,1.76
2,2,4500000,7220000,459585000,1170000,1.583666667
2,11,2487000,8816000,253997310,646620,3.517058824
2,10,2059878,6583630,210375340.1,535568.28,3.532857143
2,59,6068496,12849116,619775496.5,1577808.96,2.016086957
1,59,2829,6741,288925.77,735.54,2.097777778
2,20,280816,567662,28679738.08,73012.16,1.608461538
3,20,3761,11855,384110.93,977.86,2.2625
0,9,583274,682933,55218549.58,145818.5,1.060714286
1,9,120354,197607,11393913.18,30088.5,1.625517241
3,9,2881073,4205026,272751180.9,720268.25,1.345945946
2,24,3777661,2634853,357631166.9,944415.25,0.710625
2,25,469000,541700,44400230,117250,1.209230769
1,25,11800,54700,1117106,2950,4.53
2,1,905651,2468000,85737980.17,226412.75,2.495
2,40,83273,85653,7883454.91,20818.25,1.133636364
2,42,1030464,2103709,97554026.88,257616,2.035185185
3,42,50456,102312,4776669.52,12614,2.000666667
1,42,73863,184064,6992610.21,18465.75,2.378
2,17,1671107,1024930,158203699.7,417776.75,0.608
2,16,1496800,1793000,141702056,374200,0.8903125
1,16,26500,61100,2508755,6625,2.288
2,23,107742,190937,10199935.14,26935.5,1.767142857
2,4,57067,109205,5402532.89,14266.75,1.89
2,63,150000,223400,14200500,37500,1.46375
2,2,4273000,3278000,404524910,1068250,0.753333333
2,11,2530000,8880000,239515100,632500,3.438823529
2,20,271219,511526,25676302.73,67804.75,1.461538462
3,20,4090,11649,387200.3,1022.5,2.8
0,2,136359.61,89082,12909164.28,34089.9025,1.516666667
3,2,922658.68,974008,87348097.24,230664.67,1.062222222
0,9,553904,688189,54825417.92,132936.96,1.141666667
2,9,190236,270831,18829559.28,45656.64,1.42
1,9,116885,169902,11569277.3,28052.4,1.324642857
3,9,2907199,4589705,287754557,697727.76,1.456315789
2,24,3828992,5567644,378993628.2,918958.08,1.4375
