Season,State,Area(hec),Production(Ton),Yield(Ton/hector)
3,0,1888683,3727039,1.965925926
0,23,33136,77453,2.551818182
3,23,13649,62901,2.557272727
3,23,63670,160722,2.347272727
2,43,27730,78489,2.83
3,43,13614,36579,2.76
2,42,977005,2641669,2.525666667
3,42,29329,71420,2.456428571
1,42,103711,307524,2.785769231
0,58,60418,160894,2.327692308
1,58,47334,144706,2.67
3,58,89118,243675,2.370714286
2,10,2000212,7374681,4.061290323
2,56,1519656,5233690,3.361538462
3,56,585363,2768647,3.727692308
2,53,3693,13151,3.24
3,53,8412,23024,3.436666667
1,53,4100,15989,2.535
0,0,168044,228206,1.405185185
1,0,408132,1131872,2.412692308
3,0,1890960,3767357,1.996666667
0,23,33646,78965,2.552727273
3,23,13670,63373,2.573636364
3,23,63862,162180,2.359090909
2,43,27630,77109,2.795
3,43,13193,36118,2.745
2,42,942025,2611754,2.529666667
3,42,18686,49615,2.525333333
1,42,73832,212837,2.852692308
0,58,56601,167181,2.524615385
1,58,42544,127905,2.534285714
3,58,72253,141397,2.102142857
2,10,1442841,3554113,3.068387097
2,56,1476928,4941933,3.25
3,56,741258,3519409,3.887692308
2,53,4325,15281,3.256666667
3,53,8749,25188,3.27
1,53,4297,15518,2.85
0,0,154511,209349,1.418148148
1,0,400402,1191244,2.704615385
3,0,1878798,3883120,2.063703704
0,23,33575,78848,2.551818182
3,23,13683,63428,2.576363636
3,23,63883,162272,2.36
2,43,27219,71279,2.635
3,43,11301,31718,2.855
2,42,737547,2123100,2.9
3,42,30634,81726,2.773076923
1,42,224744,702645,3.063703704
0,58,58278,148913,2.217692308
1,58,49693,153463,2.733571429
3,58,81115,218934,2.483571429
0,10,235255,906616,3.967857143
1,10,276272,1234550,4.451428571
3,10,1317338,4497284,4.139
2,56,1563887,5243250,3.263846154
3,56,644417,2991289,3.699230769
2,53,4298,16082,3.373333333
3,53,9048,30635,3.976666667
1,53,4515,16626,2.885
0,0,144766,209122,1.492592593
1,0,400873,1145512,2.645
3,0,1879539,4082738,2.15
0,23,33494,78214,2.545454545
3,23,13624,63050,2.569090909
3,23,63814,161706,2.352727273
2,43,25841,70272,2.72
3,43,10543,28582,2.72
2,42,1037158,2949318,2.637
3,42,11442,28334,2.480833333
1,42,150993,484330,2.9272
0,58,60718.46,101943,1.565384615
1,58,48858.28,196784,3.09
3,58,88449.47,279529,2.684285714
0,10,279647,1198496,4.184827586
1,10,236904,992095,3.997333333
3,10,1204714,3940959,3.749032258
2,56,1526425,5342033,3.517692308
3,56,829557,3798058,3.873076923
2,53,4323,15171,3.216666667
3,53,9397,28114,3.883333333
1,53,4518,16060,3.55
0,0,127223,193215,1.464814815
1,0,395518,1025571,2.492307692
3,0,1878208,3996018,2.137037037
0,23,33480,78074,2.510909091
3,23,13628,63081,2.57
3,23,63889,162321,2.36
2,43,24411,60556,2.475
3,43,10287,29819,2.95
2,42,964087,3088937,2.924
3,42,11266,31038,2.881428571
1,42,272701,827998,2.86862069
0,58,55895,145076,1.949230769
1,58,61006,212586,2.815714286
3,58,81279,247879,2.503571429
0,10,206535,847692,4.077241379
1,10,339990,1463054,4.095
3,10,1360882,4954415,3.818387097
2,56,2382500,5218300,1.99173913
3,56,1117700,3291700,2.64
0,9,749671,892725,1.102244898
1,9,124429,236446,1.683265306
3,9,4238204,6004120,1.354363636
4,25,672600,1042300,1.665
2,16,1339000,2330000,8.778275862
1,16,329,646,2.018888889
4,4,68114,110573,1.6
2,11,2281000,7904000,3.476470588
2,59,5726527,12262794,2.037
1,59,6607,18281,2.202903226
2,56,2812400,7005800,2.47
3,56,1504200,4872200,2.986086957
1,9,132836,270992,1.765777778
3,9,4234443,5722449,1.242909091
2,25,622100,1015900,1.695384615
2,1,1086694,2432000,2.286666667
2,40,82125,116997,1.455454545
2,17,5438800,3346300,0.586785714
2,16,1445700,2395100,1.267241379
1,16,37400,72500,2.053333333
2,11,2519000,7940000,3.099411765
2,10,2386399,8215286,3.445
2,22,255487,491430,1.8775
2,59,5875153,11374070,1.865060241
1,59,5629,12643,2.015172414
2,9,744230,862282,1.061666667
1,9,124874,246807,1.700666667
2,25,664400,984900,1.510714286
2,1,1083052,2563000,2.235
2,40,80222,120365,1.55
2,42,1096198,2678951,2.292962963
3,42,52778,107289,2.079285714
1,42,300820,930490,2.7336
2,17,5514025,6663769,1.110508475
2,16,1457100,2466400,1.211935484
1,16,41400,82900,2.081
2,63,148000,222000,1.484285714
0,2,797000,743000,0.971333333
1,2,381810,912040,2.073333333
3,2,3423000,3532000,1.142666667
2,11,2604000,8716000,3.332352941
2,10,2204046,7225373,3.499642857
2,59,6079822,13230539,1.991707317
1,59,6052,16186,2.190384615
0,9,2939790,4444354,1.399189189
2,9,591705,786858,1.310645161
1,9,125349,213158,1.590645161
2,24,3769746,2369295,0.6575
2,25,583500,472600,0.8725
1,25,3900,10700,3.53
2,1,1054282,2695000,2.443157895
2,40,81519,124893,1.55
2,17,1697346,975274,0.613555556
2,16,1486400,1879200,0.9865625
1,16,25100,50500,1.987
2,4,51839,103673,1.8875
2,63,150000,230000,1.5025
3,63,1680,3330,1.98
0,2,854570,464250,0.733666667
1,2,206730,441540,1.685333333
3,2,3372220,3707590,1.020666667
2,11,2611000,9154000,3.501764706
2,10,2113344,7217903,3.611785714
2,59,5904128,11672250,1.894782609
1,59,3023,6899,2.083181818
2,20,285545,579074,1.649230769
3,20,3062,9578,3.125
0,9,2844474,4354156,1.409189189
2,9,126106,243661,1.792903226
1,9,593959,703404,1.098275862
2,24,3810112,5073721,1.34375
2,25,664000,1028700,1.533571429
1,25,3800,11500,2.935
2,1,1027505,2726000,2.645555556
2,40,80579,137418,1.654545455
2,17,1766150,1685799,0.849333333
2,16,1487200,2590400,1.261875
1,16,26800,60800,2.192
2,4,55880,105713,1.825
2,63,155000,235000,1.485
3,63,1500,2000,1.76
2,2,4500000,7220000,1.583666667
2,11,2487000,8816000,3.517058824
2,10,2059878,6583630,3.532857143
2,59,6068496,12849116,2.016086957
1,59,2829,6741,2.097777778
2,20,280816,567662,1.608461538
3,20,3761,11855,2.2625
0,9,583274,682933,1.060714286
1,9,120354,197607,1.625517241
3,9,2881073,4205026,1.345945946
2,24,3777661,2634853,0.710625
2,25,469000,541700,1.209230769
1,25,11800,54700,4.53
2,1,905651,2468000,2.495
2,40,83273,85653,1.133636364
2,42,1030464,2103709,2.035185185
3,42,50456,102312,2.000666667
1,42,73863,184064,2.378
2,17,1671107,1024930,0.608
2,16,1496800,1793000,0.8903125
1,16,26500,61100,2.288
2,23,107742,190937,1.767142857
2,4,57067,109205,1.89
2,63,150000,223400,1.46375
2,2,4273000,3278000,0.753333333
2,11,2530000,8880000,3.438823529
2,20,271219,511526,1.461538462
3,20,4090,11649,2.8
0,2,136359.61,89082,1.516666667
3,2,922658.68,974008,1.062222222
0,9,553904,688189,1.141666667
2,9,190236,270831,1.42
1,9,116885,169902,1.324642857
3,9,2907199,4589705,1.456315789
2,24,3828992,5567644,1.4375
2,48,6549,17909,2.73
2,25,651400,1193200,1.7125
1,25,23900,83800,3.565714286
2,1,1015191,2790000,2.733333333
0,2,614160.1,418254,0.74
3,2,1437560.59,1525099,0.998636364
2,17,1708583,1743430,0.997916667
2,16,1500400,2768600,1.232258065
1,16,29500,65500,2.217
2,31,157830,381240,2.305555556
2,4,59196,114630,1.925
2,63,155000,220990,1.36
3,63,1000,2000,1.945
2,2,4501000,6801000,1.516333333
2,11,2614000,9656000,3.678235294
2,59,5719933,12476923,2.066285714
1,59,7839,18016,2.1595
2,20,271671,520831,1.640769231
1,20,5655,21126,3.66
2,56,2215067,6392717,2.720454545
3,56,871135,3208328,2.83
0,0,436244,286330,0.802173913
1,0,311437,610136,1.764347826
3,0,1636050,2574284,1.551304348
0,9,534477,477325,0.788148148
1,9,116220,166198,1.437407407
3,9,2489419,1828633,0.647105263
2,24,3843825,4586818,1.160625
2,48,8431,28216,3.35
2,25,665600,1157300,1.730666667
1,25,13800,39200,2.68625
2,1,1024236,3010000,2.832777778
2,17,1675513,1302615,0.803541667
2,16,1488200,2098200,1.022903226
1,16,20500,49000,2.463
2,63,153000,259750,1.65625
3,63,1000,2000,1.99
2,11,2800000,10437000,3.788823529
2,22,256076,602221,2.24
2,20,281464,537876,1.592307692
1,20,7511,22367,2.975
0,2,153608.9,105328,0.714
3,2,980642.41,901045,0.85
0,34,320822,653044,2.037222222
1,34,1376387,4257111,2.857777778
3,34,4086404,9974734,2.336111111
0,9,533233,503448,0.962666667
1,9,113251,182827,1.304583333
3,9,2604752,3023010,1.035263158
2,24,3854352,5267537,1.30375
2,48,7506,21092,2.81
2,25,648300,1209300,1.843125
1,25,24600,74300,3.054444444
2,1,1046588,3194000,2.940526316
2,40,79366,112139,1.396363636
2,17,1700446,1687475,0.881041667
2,16,1473700,2596800,1.215666667
1,16,38800,72200,2.007
4,4,56460,107740,1.9425
2,63,155500,261300,1.6425
3,63,900,1800,2.06
2,11,2642000,10193000,3.820588235
2,22,253067,602947,2.305
2,20,275459,526520,1.62
1,20,8971,42646,3.89
0,2,149362.86,77860,0.557857143
3,2,954735.25,536165,0.531363636
0,9,517983,530242,0.962413793
1,9,109436,163989,1.45173913
3,9,2736591,4333716,1.482702703
2,24,3905319,5441525,1.247222222
2,48,7381,20815,2.82
2,25,655600,1045200,1.601875
1,25,33700,96000,2.855555556
2,1,1042036,3371000,2.8545
2,40,79206,123485,1.750909091
2,17,1674013,1389269,0.856666667
2,16,1491300,2488600,1.166333333
1,16,38000,81100,2.176
2,63,163680,261920,1.595
3,63,1000,1600,1.605
2,11,2621000,10138000,3.75
2,22,250939,628200,2.4225
2,59,5902577,11082993,1.846
1,59,18175,40620,1.995
2,20,273662,540128,1.645384615
3,20,9923,31208,3.145
0,2,183635.05,254351,1.274545455
3,2,995583.37,1175595,1.208181818
2,56,2578000,8191000,3.094545455
3,56,1406000,5133000,3.159090909
0,9,524266,318517,0.617
1,9,110440,172291,1.416666667
3,9,2842665,3967956,1.260789474
2,24,3902881,5634972,1.393888889
2,25,726000,1376300,1.8325
1,25,32600,97900,3.043333333
2,1,1072545,3606000,3.191578947
2,40,78571,121453,1.686363636
2,17,1634912,1325175,0.875
2,16,1535300,2912800,1.377241379
1,16,41400,98700,2.486
0,23,32604,37918,1.498571429
1,23,11546,48132,2.022857143
3,23,62170,114027,1.812857143
2,63,166000,308800,1.8275
3,63,1500,2500,1.66
2,11,2610000,10489000,3.968
2,22,252897,640424,2.4375
2,59,5690539,11731754,1.962
1,59,18849,48358,2.152142857
2,20,259805,523203,1.709230769
1,20,12364,41864,3.423333333
0,2,183323.17,163692,0.899047619
3,2,1014731.14,1306932,1.306363636
0,9,546872,727414,1.230344828
1,9,105526,178240,1.641
3,9,2842875,4684328,1.545789474
2,24,3928815,4707499,1.198333333
2,25,722100,1225500,1.615294118
1,25,25200,77400,2.921111111
2,1,1211149,3299000,2.569
2,40,77709,118277,1.6
2,17,1706557,1571103,0.911020408
2,16,1499500,2234300,1.170740741
1,16,22000,53200,2.421111111
2,31,210990,518250,2.134444444
2,63,173100,345090,1.964545455
2,11,2735000,11000000,3.9855
2,22,242966,627175,2.525
2,59,6011761,13051365,2.124428571
1,59,21621,45666,2.095
2,20,275711,528524,1.627692308
1,20,12654,39797,3.1
0,2,188422.33,162674,0.868695652
3,2,1008437.16,1333906,1.39125
0,9,525890,471321,0.905666667
1,9,95682,176656,1.492083333
3,9,2502458,2992233,1.105526316
2,24,3837610,4347316,1.106666667
2,25,658500,1228400,1.693529412
1,25,21000,64600,3.034444444
2,1,1206435,3628000,2.673809524
2,40,76186,105787,1.484545455
2,16,1450000,2138100,1.106071429
1,16,20600,47700,2.251111111
2,31,113890,265090,1.923333333
2,63,168570,240310,1.393636364
2,11,2802000,11236000,3.9775
2,22,245538,640010,2.5225
2,59,5148046,10714990,2.00971831
1,59,24695,61514,2.13
2,20,270608,551716,1.613846154
3,20,13775,39300,2.85
0,2,157262,87970,0.515217391
3,2,825787,504508,0.58625
0,34,214062,466766,2.095
1,34,1429703,4275871,2.79
3,34,3986330,9597968,2.346111111
4,17,1593071,1355660,0.906041667
0,9,495218,444042,0.919642857
1,9,84465,163031,1.827916667
3,9,2265685,2505545,0.979210526
2,24,3937796,6637737,1.702222222
2,25,728300,1423800,1.8275
1,25,79800,242000,2.987777778
2,1,1243281,3465000,2.561428571
2,40,75426,110238,1.561818182
2,17,1573535,1766596,1.211666667
2,16,1486200,2625100,1.3116
1,16,29500,65800,2.388888889
2,31,212680,480240,1.945555556
0,4,28562,26499,0.92625
2,4,12123,20697,1.495
3,4,7,6,0.86
2,63,180060,378210,2.051818182
3,63,1330,3150,2.38
2,11,2831000,10837000,3.834
2,10,1905726,5792415,3.597419355
2,22,264558,702473,2.5725
2,59,5631949,11938078,2.052916667
1,59,25121,54221,2.032222222
2,20,270416,495083,1.540769231
3,20,15277,50503,2.25
2,49,261347,507404,1.874
0,34,212132,453439,2.081666667
1,34,1369892,4506848,3.123888889
3,34,3362122,8429323,2.487222222
0,9,570397,914228,1.546774194
1,9,96160,182628,1.736190476
3,9,2684379,7141115,2.491578947
2,24,3939826,6300825,1.527777778
2,25,751300,1521800,1.951666667
1,25,84200,267900,3.122222222
2,1,1234094,3574300,2.63047619
2,40,75043,108648,1.545454545
2,17,1693231,2273045,1.400416667
2,16,1516400,2784600,1.319642857
1,16,27800,64300,2.427777778
2,31,223670,591000,2.34
0,4,25826,26644,1.04125
2,4,12700,25304,2.03125
3,4,450,947,2.3775
2,63,179050,376390,2.049090909
3,63,2530,5990,2.34
2,11,2818000,10542000,3.7495
2,22,265999,718304,2.63
2,59,5922643,13962896,2.294444444
1,59,23642,59496,2.335909091
2,20,261319,544497,1.684615385
1,20,13680,45267,3.31
0,2,150654,126012,0.79173913
3,2,832047,1250312,1.554166667
0,34,212971,471282,2.072222222
1,34,1221076,3875100,3.035
3,34,3999653,10259384,2.475555556
0,9,540424,960007,1.743793103
1,9,105117,285835,2.396086957
3,9,2653346,7076168,2.567894737
2,24,3982172,7848401,1.91962963
2,25,672000,1408100,1.98
1,25,29100,89200,2.943
2,1,1206255,3941000,3.041
2,40,75380,111252,1.577272727
2,17,1791157,3106146,1.631041667
2,16,1528100,3001640,1.316153846
1,16,30900,76400,2.38
2,31,122690,257580,1.937777778
0,4,24706,27128,1.095
2,4,14330,29983,2.2925
3,4,306,589,2.3525
2,63,179780,396230,2.15
3,63,3550,8950,2.52
2,11,2849000,11390000,3.923636364
2,10,1493276,4050334,3.293225806
2,22,254743,713222,2.78
2,59,5837298,14353736,2.4092
1,59,23984,62203,2.434761905
2,20,255037,561339,1.750769231
1,20,14200,45552,3.21
0,2,148761,129693,0.761304348
3,2,942310,1292796,1.338333333
0,34,205082,471150,2.259444444
1,34,1228263,4065052,3.206111111
3,34,4010973,10410533,2.53
0,9,549404,798676,1.413
1,9,92207,215952,2.233157895
3,9,2509203,5634961,2.066842105
2,24,3987721,7102729,1.75037037
2,25,787300,1672585,1.939411765
1,25,33099,105505,3.133636364
2,1,1244000,4041000,3.112
2,40,73139,106899,1.565454545
2,17,1881546,3321724,1.410204082
2,16,1567500,3016600,1.436
1,16,37400,91690,2.423333333
2,31,222800,597670,2.354444444
0,4,22633,25671,1.10625
2,4,15620,32440,2.1475
3,4,550,883,1.666666667
2,63,185670,419640,2.203636364
3,63,3810,10000,2.633333333
2,11,2851000,11267000,3.834090909
2,44,1166334,3768045,3.115555556
3,44,828103,2813045,3.203333333
2,22,254254,711831,2.775
2,59,5955306,14565665,2.396133333
1,59,27063,70171,2.479047619
2,20,246959,551758,1.736153846
1,20,12420,41310,3.353333333
0,2,154068,131682,0.854782609
3,2,933073,1366639,1.422083333
0,34,210036,493651,2.252777778
1,34,1286995,4338142,3.127222222
3,34,4016656,10545076,2.626111111
0,9,581128,1010341,1.738965517
1,9,82265,181555,1.971764706
3,9,2599981,7049728,2.625263158
2,24,4035700,7977746,1.92962963
2,25,763205,1671308,1.867368421
1,25,31238,100275,3.144166667
2,1,1277000,3989000,2.9465
2,40,72380,116365,1.72
2,17,2057000,3522660,1.663488372
2,16,1508400,2835400,1.3064
1,16,42800,111200,2.52375
2,31,224380,501980,2.073333333
0,4,20064,23583,1.14875
2,4,16380,35983,2.2825
3,4,486,1113,2.063333333
2,63,191230,443450,2.260909091
3,63,4010,10740,2.683333333
2,11,2894000,11107000,3.728181818
2,44,920307,2854873,2.958888889
3,44,495113,1690109,3.332222222
2,22,257273,746954,2.885
2,59,5842029,13241518,2.240533333
1,59,29947,75449,2.384090909
2,20,247698,561856,1.738461538
1,20,12394,39004,3.15
0,2,139909,143816,1.01
3,2,849093,1248966,1.416666667
0,34,227829,591451,2.516111111
1,34,1290020,4351753,3.254444444
3,34,4008662,10983992,2.700555556
0,9,549012,725206,1.347142857
1,9,81302,200983,2.528333333
3,9,2602000,5876027,2.166052632
2,24,3959746,5154328,1.21962963
2,25,741042,1584355,1.895238095
1,25,33140,107509,3.201818182
2,1,1353000,4142000,2.963
2,40,71614,114670,1.612727273
2,17,2027000,3546790,1.701904762
2,16,1471400,2517100,1.334583333
1,16,31400,76000,2.538888889
2,31,237000,508140,1.876666667
0,4,19851,24343,1.22375
2,4,16804,36471,2.16
3,4,498,1275,2.515
2,63,176790,427240,2.41
3,63,4520,12220,2.703333333
2,11,2975000,11823000,3.923181818
2,44,748713,2197030,2.822222222
3,44,297475,850259,2.785555556
2,22,199818,575826,2.895
1,22,69975,219022,3.04625
2,59,5837445,12434053,2.096133333
1,59,24595,67107,2.295
2,20,252163,591755,1.795384615
1,20,13043,50137,3.81
0,2,145866,88110,0.606956522
3,2,1016623,674135,0.6625
0,34,235970,612966,2.48
1,34,1310585,4424392,3.155
3,34,3977400,10910896,2.670555556
2,49,131000,220000,1.606
